Summary Nr,Event Date,SIC,&nbsp;,Fat,Event Description,Report ID
200203560,07/15/2010,4911,23,X,Employee Is Burned And Killed In Explosion,0418200
201261245,07/18/2002,4231,48,X,Employee Killed When Struck By Falling Chemical Drums,0524200
201408317,11/24/2010,1761,39,X,Worker Falls Approximately 50 Feet,0552651
200552206,01/14/2002,"8999,2911",52,X,Employee Dies Of Chemical Burns,0625700
201345519,10/07/2010,2077,14,X,Two Employees Are Injured In Explosion. One Died,0729700
201363744,08/23/2011,5812,18,X,Employee Falls Overboard From Barge And Drowns,0419400
170365498,02/03/2001,1711,57,X,Employee Killed From Chemical Exposure- Has Brain Hemorrhage,0551800
200264273,07/25/2011,2421,50,X,Employee Is Overcome By Heat Exhaustion,0627100
201353505,12/19/2007,2869,96,X,Four Employees Are Killed In Plant Explosion; Two Injured,0419700
202567616,05/02/2011,8734,2,X,"Employee Is Burned In Explosion, Later Dies",0420600
200359651,06/27/2011,0783,75,X,Employee Is Killed When Struck By Tree,0453710
200023679,05/11/2010,1795,32,X,Employee Is Killed In Tank Explosion,0214200
200542066,12/09/2010,1311,10,X,One Employee Is Killed And One Is Injured In Explosion,0317500
202626990,07/29/2010,0783,66,X,Tree Service Worker Is Killed By Falling Tree,0352430
200002095,11/07/2005,3442,30,X,Employee Killed By Heart Attack After Chemical Exposure,0728500
201363066,09/11/2007,1381,19,X,Employee Dies Of Apparent Chemical Over Exposure,0419400
201562048,12/29/2007,1381,94,X,Worker Is Killed By Air Pressure Explosion While Drilling,0854910
200041572,03/02/2010,1629,37,X,Two Employees Are Killed; Two Employee Injured In Explosion,0653510
171044373,04/09/2008,2899,16,X,Chemical Worker Dies Of Respiratory Or Cardiovascular Event,0950621
200555985,01/06/2010,1311,41,X,Fire And Explosion From Leaking Natural Gas Kills Worker,0625700
200678209,01/28/2011,7999,31,X,Worker Placing Support Block Under Trailer Is Killed,0418800
202368916,08/19/2011,4213,37,X,Employee Is Killed In Motor Vehicle Accident,1055350
200674661,01/21/2004,7532,36,X,"Employee, Owner Burned, Killed In Chemical Waste Explosion",0418800
200626299,10/13/2011,1731,7,X,Employee Dies From Head Injury Received In Fall Down Steps,0454712
201283348,10/27/2010,3444,43,X,Worker Is Killed By Falling Part Struck By Forklift,0418100
202075073,08/23/2002,1799,47,X,Employee Is Killed When Chemical Vapors Ignite And Explode,0453730
202553335,08/18/2011,1542,38,X,Employee Dies Of Heart Attack,0950631
201562543,10/21/2010,1794,53,X,Worker Killed By Falling Concrete In Manhole,0854910
200645091,08/15/2011,1611,44,X,Employee Is Killed When Struck By Truck,0627700
201363470,11/21/2009,3731,45,X,Two Employees Die In Explosion,0419400
200357853,06/09/2009,"2013,1711,7361",55,X,Three Employees Killed And Fifteen Injured In Explosion,0453710
201523388,02/07/2010,1711,39,X,Four Employees Are Killed In Natural Gas Explosion,0111500
200714186,07/01/2011,4212,63,X,Employee Is Killed When Run Over By Landfill Compactor,0636900
Summary Nr,Event Date,SIC,&nbsp;,Fat,Event Description,Report ID
200713956,08/18/2010,7534,61,X,Worker Is Struck And Killed By Exploding Tire,0636900
200358224,09/03/2009,0782,6,X,"Employee Collapses Spraying Chemical, Later Dies",0453710
200632412,10/17/2011,1799,1,X,Employee Dies From Injuries Received In Fall,0316400
202553343,08/19/2011,5651,36,X,Employee Is Crushed And Killed By Machine,0950631
200924298,11/27/2005,4731,28,X,Employee Dies From Chemical Ingestion,0355121
202602017,08/22/2011,4789,20,X,Employee Is Struck By Truck In Work Zone And Is Killed,0551701
200203727,08/20/2011,9711,30,X,Employee Is Crushed When Run Over By Truck,0418200
200203685,07/24/2011,2541,53,X,Employee Struck On Head By Hydraulic Ram Assembly,0418200
201956299,03/03/2011,7389,15,X,Worker Is Killed In Fall From Elevated Industrial Truck Part,0522000
200812881,06/27/2009,1389,54,X,Welder Is Killed By Water Transport Truck Tank Explosion,0627400
200923472,11/12/2005,1794,29,X,Employee Killed After Ingesting Toxic Chemical,0355125
201371465,02/01/2011,1389,23,X,Backing Truck Runs Over And Kills Worker,0317700
201751971,07/08/2010,8711,24,X,Employee Is Killed In Oil Tank Explosion,0830600
200041689,07/05/2010,0161,78,X,Agricultural Worker Dies Of Infection,0653510
201956224,10/21/2010,5511,52,X,Worker Falls From Ladder And Dies From Head Injury,0522000
200203537,07/28/2010,0782,71,X,Lawn Maintenance Worker Is Struck And Killed By Vehicle,0418200
202180253,07/28/2010,8063,69,X,Psychiatric Hospital Social Worker Dies From Heart Problems,0253660
170006902,10/01/2001,5191,54,X,Employee Died From Possible Chemical Exposure,1055350
200542025,07/22/2010,3339,22,X,Two Employees Die In Explosion,0317500
202491528,03/24/2011,8051,12,X,Hospital Worker Dies Due To Mrsa Infection,0950621
202574240,06/29/2011,7513,68,X,Employee Is Killed Crushed Under Falling Trailer,0352440
200515468,10/12/2011,1731,11,X,Employee Is Electrocuted,0552700
201363306,10/09/2008,7539,68,X,"Employee Is Burned In Explosion, Later Dies",0419400
200555944,11/18/2009,1389,46,X,"Employee Is Killed, Others Injured In Natural Gas Explosion",0625700
200998383,07/28/2010,3751,68,X,Worker Dies From Head Concussion In Incident With Motorcycle,0551800
200625812,06/30/2010,1751,82,X,Worker Is Killed In Fall From Ladder Jack Scaffold,0454713
200881407,11/15/2007,7699,100,X,Employee Dies From Injuries From Propane Explosion,0215800
201702743,02/16/2009,"3441,5142",59,X,Employee Is Killed In Explosion,1054195
200678340,03/31/2011,7532,2,X,Employee Dies From Chemical Exposure,0418800
125140806,02/20/2003,7532,44,X,Employee Dies From Overexposure To Chemical,0552622
202023834,10/14/2011,1761,6,X,Employee Is Killed In 40-Foot Fall From Roof,0316100
202561312,08/22/2011,7389,22,X,Employee Dies In Fall From Ladder,0950411
201354255,08/22/2011,1481,27,X,Employee Is Electrocuted While Boring And Using Auger,0419700
200212421,06/26/2008,1795,83,X,"Two Employees Are Injured, One Is Killed In Gas Explosion",0626000
202613782,06/28/2011,4213,70,X,Employee Is Killed In Truck Accident,1054112
200813103,10/28/2010,4841,40,X,Worker Is Killed In Fall From Bucket Of Aerial Lift,0627510
200993111,01/12/2007,4213,21,X,Employee Dies After Being Burned By Chemical,0551800
201283330,10/23/2010,1711,49,X,Sewer Worker Is Killed In Trench Cave-In,0418100
201613999,12/12/2008,9221,62,X,Employee Is Killed In Bomb Explosion,1054113
201924412,05/26/2008,0291,15,X,Two Employees Die From Chemical Asphyxiation,0626700
201856028,06/14/2009,3089,11,X,Employee Dies After Chemical Exposure,0452110
201859709,05/31/2008,2435,88,X,"One Employee Dies, One Is Burned In Propane Explosion",0452110
202560983,07/06/2010,4222,76,X,Warehouse Worker Dies When Forklift Backs Off Dock,0950411
202561262,08/15/2011,1761,45,X,Employee Is Killed In Fall From Roof,0950411
200812725,09/09/2008,1623,72,X,Employee Is Killed In Gas Line Explosion,0627400
200556686,08/24/2011,3494,12,X,Employee Is Killed When Struck By Cable Chain,0625700
200123172,08/16/2010,3273,62,X,Worker Cleaning Concrete Truck Is Caught And Killed,0523400
200998540,03/02/2011,3545,21,X,Worker Dies After Striking Head On Storage Bin,0551800
200999100,08/12/2011,1629,46,X,Employee Suffers Heart Attack In Trench,0551800
170814032,11/21/2007,1389,99,X,"Two Employees Are Burned In Tank Explosion, One Dies",0950664
200811198,09/19/2002,2813,45,X,Employee Killed When Chemical Tank Explose,0627400
200773646,09/02/2004,1799,33,X,Two Employees Killed And Two Injured In Chemical Fire,0134000
200626232,06/30/2011,5063,67,X,"Employee Falls From Dock, Later Dies",0454716
202553392,08/22/2011,0782,29,X,Employee Dies Of Natural Causes While Working As Laborer,0950631
202567632,07/03/2011,7941,58,X,Employee Fractures Pelvis On Freight Elevator And Dies,0420600
200922060,04/07/2011,"2411,7699,3553,3548",4,X,Employee Is Burned In Chipping Machine Explosion,0355112
201407467,07/26/2005,1799,32,X,Employee Electrocuted By Chemical Spray On Bare Wires,0552651
201344769,08/28/2008,1389,74,X,"One Employee Dies, Another Is Injured In Pipe Line Explosion",0729700
200604866,10/21/2010,5093,54,X,Worker Killed Attempting To Stop A Runaway Rail Car,0625500
200813244,06/25/2011,1381,81,X,Employee Is Killed When Struck In Head By Cable,0627510
202567582,07/02/2011,7999,60,X,"Employee Struck, Killed By Counterweight On Amusement Ride",0420600
200631935,08/28/2008,2879,73,X,Explosion Kills Two Employees,0316400
200556348,02/25/2011,4491,8,X,One Employee Killed And Two Injured In Tire Explosion,0625700
200922037,01/31/2011,2951,26,X,Worker Is Killed While Fixing A Conveyor,0355112
202445417,12/13/2006,3713,22,X,Employee Dies From Chemical Intoxication,0950633
200626042,01/05/2011,3482,9,X,Employee Is Killed During Fire/Explosion,0454711
200998946,06/25/2011,7538,82,X,Employee Is Crushed And Killed By Truck,0551800
200784593,11/20/2008,2911,63,X,"Two Employees Are Killed, Three Injured, In Explosion",0626300
200604460,09/01/2009,3569,49,X,Employee Is Injured In Welding Explosion; Later Dies,0625410
201345840,06/08/2011,5153,1,X,Worker Dies From Being Sprayed With Chemical,0729700
200332252,12/13/2009,4212,43,X,Employee Dies After Explosion Of Tanker Trailer,0830300
200203503,07/21/2010,0782,73,X,Worker Drowns When Lawn Mower Rolls Over Embankment,0418200
200714228,08/22/2011,9999,24,X,Employee Is Killed In Structure Fire,0636900
201363728,06/28/2011,2046,72,X,Employee Is Killed In Flash Fire,0419400
202126744,08/22/2011,4731,21,X,Employee Is Killed When Run Over By Industrial Truck,0627500
201860293,11/23/2010,3295,12,X,"One Employee Is Killed, One Is Injured By Tire Explosion",0452110
200625929,10/28/2010,1761,41,X,Worker Dies After Falling From Ladder,0454712
200925204,08/12/2008,7363,77,X,Employee Is Killed In Fall From Silo Explosion,0355114
200359347,07/05/2011,9221,55,X,Employee Is Killed While Repelling Down Training Tower,0453710
200645083,06/27/2011,1761,74,X,Employee Dies In Fall From Roof,0627700
200678217,03/04/2011,0782,14,X,Worker Is Killed In Fall From Moving Vehicle,0418800
200813095,08/19/2010,1389,19,X,"Employee Is Injured In Gas Explosion, Later Dies",0627510
202494324,10/13/2011,1761,8,X,Employee Is Killed In Fall From Roof,0215000
200651685,02/09/2010,3471,38,X,"Employee Is Killed, Two Are Burned In Dip Tank Explosion",0521100
202126728,10/18/2010,3312,13,X,Employee Dies After Gas Explosion,0627500
200613313,05/14/2010,2892,31,X,Two Employees Were Killed In Explosion,0111700
200785236,06/18/2011,1611,86,X,Employee Is Killed When Run Over By Truck,0626300
202508511,06/28/2011,3911,71,X,Employee Dies Of A Heart Attack,0950622
201273075,12/22/2010,7538,35,X,Worker Is Crushed Between Excavator And Bulldozer And Killed,0418300
200012607,05/10/2007,3471,20,X,"Employees Injured In Chemical Spill, One Dies Later",0729300
200212413,05/08/2008,1381,90,X,Employee Is Killed In Gas Well Explosion,0626000
200526705,04/15/2003,5153,43,X,Employee Dies From Chemical Burns,0751910
200630754,04/18/2002,5082,50,X,Employee Died From Exposure To Chemical,0316400
200527075,07/18/2003,0291,40,X,Employee Died From Chemical Inhalation Inside A Tank,0751910
202633715,06/28/2011,9511,73,X,Employee Is Struck And Killed By Flatbed Truck,0950633
202494134,07/28/2010,1711,72,X,Worker Installling Flue Is Killed In Fall From Ladder,0215000
200678456,06/29/2011,0782,69,X,Employee Is Killed Crushed By Skid Steer,0418800
202081154,06/07/2011,2086,4,X,Backing Truck Crushes And Kills Dock Worker,0453730
202508560,08/19/2011,1742,35,X,Employee Dies Of Heart Attack,0950622
200613388,03/03/2011,3273,17,X,Worker Is Killed In Slip And Fall On Icy Surface,0111700
202491239,02/02/2011,8211,22,X,Worker Is Killed In Workplace Shooting,0950621
200802395,06/03/2010,4512,4,X,Employee Dies From Chemical Exposure,0523300
200742641,06/07/2011,4212,6,X,Waste Worker Killed Crossing The Street For Trash Can,0213100
201103017,08/27/2002,1623,46,X,Employee Dies After Inhaling Chemical Vapors,0950624
200997864,07/29/2009,8062,9,X,Employee Dies After Chemical Exposure,0551800
202005617,08/20/2011,4491,31,X,Employee Is Killed In Fall In Hold Of Ship,0317000
200263853,04/15/2010,4911,95,X,Worker Is Electrocuted After Falling Into Switch Gear,0627100
200604825,08/24/2011,4231,14,X,Employee Is Caught Between Trailer And Jifflox And Is Killed,0625500
202064333,07/02/2011,3731,61,X,One Employee Dies And One Is Burned In Painting Flash Fire,0420100
200824431,04/19/2010,7533,89,X,Worker Is Killed After Welding On Used 55-Gallon Drums,0521400
200375202,08/18/2010,2421,58,X,Sawmill Worker Dies After Being Struck By Log,0454510
201752011,10/27/2010,4731,42,X,Worker Is Crushed Loading Wind Turbine Parts Onto Flatcars,0830600
202626602,08/24/2011,7549,13,X,Employee Is Killed When Struck By Oncoming Vehicle,0352410
201863040,05/06/2010,4923,33,X,Employee Is Killed When Struck By Wall From Home Explosion,0830100
201492543,07/31/2009,2879,8,X,Employee Dies From Chemical Inhalation,0950625
201408374,06/06/2011,1731,98,X,Employee Suffers From Heart Attack,0552651
200644326,11/03/2008,2421,65,X,Welder Dies In Propane Fire And Explosion,0627700
201859931,01/23/2009,7538,60,X,Tire Service Worker Is Kiled In Rim Wheel Explosion,0452110
200998888,06/08/2011,1611,96,X,Employee Is Injured When Struck By Vehicle,0551800
200632297,10/22/2010,1771,50,X,Pump Truck Hits Overhead Wires And Kills Concrete Worker,0316400
200515401,08/15/2011,"1761,4931",43,X,Employee Is Killed After Contacting Energized Power Line,0552700
200534147,03/26/2011,2032,9,X,Worker Is Killed When Pulled Into Auger,0751910
201345477,08/20/2010,1389,18,X,Employee Dies In Explosion,0729700
200645109,08/23/2011,1799,19,X,Employee Dies Of Heat Stroke,0627700
201494127,10/26/2010,0171,45,X,Worker Is Killed When Clothes Become Entangled In Machine,0950625
200902468,04/22/2010,2621,87,X,Worker Is Killed After Being Dragged Under Forklift,0418400
201773504,03/19/2010,4493,36,X,Pleasure Boat Explosion Kills Owner,0213900
201924495,07/18/2008,7539,79,X,Employee Is Killed In Tank Explosion,0626700
201345758,06/16/2011,1761,89,X,Employee Is Killed In Fall From Roof,0729700
201924891,07/07/2009,4959,52,X,Employee Is Killed In Tank Explosion,0626700
202023826,08/16/2011,1791,42,X,Employee Is Killed When Struck Head Against A Steel Pole,0316100
200359412,06/07/2011,1623,97,X,Employee Is Killed In Manhole From Suffocation,0453710
201127487,04/18/2010,5541,92,X,Worker Is Electrocuted Changing Fluorescent Light Bulbs,0950613
200090850,07/01/2010,0782,80,X,Lawn Care Worker Is Struck And Killed By Automobile,0112300
202466132,06/22/2008,0161,84,X,Employee Is Killed And Others Burned In Drum Explosion,0950643
200556058,04/12/2010,1381,99,X,Drill Rig Worker Is Killed When Hit By Air Hoist Equipment,0625700
201763661,05/15/2010,3731,30,X,One Employee Dies And One Seriously Injured In Explosion,0626600
201210317,06/05/2011,1799,100,X,Employee Drowns,0257210
202528402,01/28/2011,3272,30,X,"One Worker Killed, Another Injured, Clearing Jammed Machine",0420600
200541977,04/20/2010,0783,88,X,Worker Is Electrocuted While Trimming Tree Limbs,0317500
200264075,12/25/2010,3441,33,X,Worker Loading Steel Girder Onto Truck Is Killed In Fall,0627100
202541488,04/19/2010,8052,90,X,Worker Dies From Head Trauma While Checking Supplies,0950641
200264174,06/08/2011,8641,3,X,Worker Killed Under Falling Equipment,0627100
200541381,03/24/2006,2869,24,X,Employee Dies After Being Sprayed By Chemical,0317500
200515039,04/12/2010,0181,98,X,Worker Dies From Causes Unrelated To Work,0552700
200644276,09/24/2008,1389,70,X,"Employee Is Burned In Oil Well Explosion, Later Dies",0627700
201781408,07/24/2011,0851,54,X,Employee Is Struck In Head By Hydraulic Ram Assembly,0936400
200264281,07/25/2011,3743,52,X,Employee Is Electrocuted When Contacted By Metal Torch,0627100
200452688,07/29/2010,4213,67,X,Worker Is Asphyxiated In Fall Into Trailer Of Cotton Seed,0418600
201391653,11/23/2007,8734,98,X,Employee Is Killed In Explosion And Fire,0552652
201044385,04/19/2010,6515,91,X,Worker Is Killed After Falling From Ladder,0953220
201771698,01/25/2002,3339,51,X,Five Employees Burned From Chemical Explosion,0213900
201942703,10/07/2008,1799,69,X,"One Employee Is Killed, Three Are Injured In Tank Explosion",0951510
201764008,10/16/2011,1611,2,X,Employee Is Killed By Drunk Driver In Construction Zone,0626600
202553400,08/22/2011,8641,28,X,Employee Is Killed By Possible Exposure To Carbon Monoxide,0950631
